epoch,categorical_accuracy,loss,lr,val_categorical_accuracy,val_loss
0,0.7894737124443054,0.6743210554122925,1e-04,0.3199999928474426,2.242508888244629
1,0.914893627166748,0.2380305528640747,1e-04,0.10000000149011612,2.904628038406372
2,0.9630458950996399,0.10588616132736206,1e-04,0.4099999964237213,1.6212249994277954
3,0.9932810664176941,0.03975020349025726,1e-04,0.6499999761581421,0.9367738962173462
4,0.9944009184837341,0.027244465425610542,1e-04,0.9200000166893005,0.30557024478912354
5,1.0,0.005984509363770485,1e-04,0.9300000071525574,0.16963884234428406
6,1.0,0.00189535366371274,1e-04,0.949999988079071,0.12918880581855774
7,1.0,0.0010513346642255783,1e-04,0.9399999976158142,0.12337956577539444
8,1.0,0.0007814847631379962,1e-04,0.9399999976158142,0.1223922148346901
9,1.0,0.0006261778762564063,1e-04,0.9399999976158142,0.12192562967538834
10,1.0,0.0005248739616945386,1e-04,0.949999988079071,0.12205157428979874
11,1.0,0.0004518646455835551,1e-04,0.949999988079071,0.12226946651935577
12,1.0,0.00039557114359922707,1e-04,0.949999988079071,0.12263187766075134
13,1.0,0.0003501841565594077,1e-04,0.949999988079071,0.1228136271238327
14,1.0,0.00031263797427527606,1e-04,0.949999988079071,0.122979074716568
15,1.0,0.0002793195017147809,1e-05,0.949999988079071,0.12212874740362167
16,1.0,0.0002762569929473102,1e-05,0.949999988079071,0.12193625420331955
17,1.0,0.000273144687525928,1e-05,0.949999988079071,0.12193983793258667
18,1.0,0.00026998535031452775,1e-05,0.949999988079071,0.12202483415603638
19,1.0,0.000266727787675336,1e-05,0.9599999785423279,0.12209494411945343
20,1.0,0.000263037858530879,1e-06,0.9599999785423279,0.12204984575510025
21,1.0,0.0002626983914524317,1e-06,0.9599999785423279,0.12201762944459915
22,1.0,0.0002623197215143591,1e-06,0.9599999785423279,0.12204530090093613
23,1.0,0.0002619398001115769,1e-06,0.9599999785423279,0.12204326689243317
24,1.0,0.00026152501231990755,1e-06,0.9599999785423279,0.12207020819187164
25,1.0,0.0002610291703604162,1e-07,0.9599999785423279,0.12204181402921677
26,1.0,0.0002610091760288924,1e-07,0.9599999785423279,0.12204723060131073
